УКРАЇНА 45962947 45778534 45633637
Міське населення 14787 14684 14576
м. Новоазовськ 12047 11950 11855
смт Сєдове 2740 2734 2721
Сільське населення 21937 21680 21490
Олександрівський район 20432 20090 19804
Міське населення 3858 3796 3726
смт Олександрівка 3858 3796 3726
Сільське населення 16574 16294 16078
Першотравневий район 27601 27391 27325
Міське населення 13717 13652 13628
смт Мангуш 8356 8331 8338
смт Ялта 5361 5321 5290
Сільське населення 13884 13739 13697
Слов'янський район 34919 34661 34334
Міське населення 15123 15079 14990
смт Андріївка 956 949 925
_______ _ _ _ _с_м_т_ _Б_и_л_б_а_с_і_в_к_а________________________6_3_0_7________6_3_1_0________6_3_0_5_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
56
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Донецьке 672 664 650
смт Райгородок 3656 3628 3592
смт Черкаське 3532 3528 3518
Сільське населення 19796 19582 19344
Старобешівський район 51748 51371 51068
Міське населення 27855 27662 27520
м. Комсомольське 12001 11909 11882
смт Старобешеве 6471 6424 6342
смт Новий Світ 9383 9329 9296
Сільське населення 23893 23709 23548
Тельманівський район 30561 30235 29965
Міське населення 9467 9355 9284
смт Тельманове 4610 4577 4529
смт Андріївка 2970 2915 2901
смт Мирне 1887 1863 1854
Сільське населення 21094 20880 20681
Шахтарський район 20556 20275 19974
Сільське населення 20556 20275 19974
Ясинуватський район 28538 28214 28054
Міське населення 8669 8588 8539
смт Верхньоторецьке 3013 3008 3001
смт Желанне 1507 1486 1472
смт Керамік 401 385 374
смт Очеретине 3748 3709 3692
Сільське населення 19869 19626 19515
Житомирська область 1285849 1279008 1273199
Міське населення 742184 741220 740424
Сільське населення 543665 537788 532775
м. Житомир 271714 271755 271895
м. Бердичів 79600 79147 78799
м. Коростень 65442 65372 65634
м. Малин 26953 26977 27012
м. Новоград-Волинський 55973 56111 56066
Андрушівський район 35367 35022 34835
Міське населення 12139 12035 11981
м. Андрушівка 9199 9122 9087
смт Червоне 2940 2913 2894
Сільське населення 23228 22987 22854
Баранівський район 42517 42190 41794
Міське населення 26322 26243 26019
м. Баранівка 12173 12128 12018
_______ _ _ _ _с_м_т_ _Д_о_в_б_и__ш___________________________4_6_0_0________4_5_7_1________4_5_1_1_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
57
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Кам'яний Брід 2663 2649 2621
смт Мар'янівка 1472 1483 1495
смт Першотравенськ 3673 3678 3651
смт Полянка 1741 1734 1723
Сільське населення 16195 15947 15775
Бердичівський район 29885 29669 29410
Міське населення 4295 4282 4276
смт Гришківці 4295 4282 4276
Сільське населення 25590 25387 25134
Брусилівський район 16050 15811 15583
Міське населення 5083 5046 4993
смт Брусилів 5083 5046 4993
Сільське населення 10967 10765 10590
Володарсько-Волинський район 35831 35755 35613
Міське населення 20016 20107 20119
смт Володарськ-Волинський 7799 7883 7854
смт Іршанськ 6616 6652 6714
смт Нова Борова 5601 5572 5551
Сільське населення 15815 15648 15494
Ємільчинський район 35961 35383 34929
Міське населення 7968 7973 7948
смт Ємільчине 6823 6842 6815
смт Яблунець 1145 1131 1133
Сільське населення 27993 27410 26981
Житомирський район 69437 69708 69768
Міське населення 12537 12653 12557
смт Гуйва 1380 1433 1436
смт Новогуйвинське 5240 5252 5246
смт Озерне 5917 5968 5875
Сільське населення 56900 57055 57211
Коростенський район 29233 28919 28519
Сільське населення 29233 28919 28519
Коростишівський район 41311 41199 41073
Міське населення 25817 25768 25793
м. Коростишів 25817 25768 25793
Сільське населення 15494 15431 15280
Лугинський район 17901 17627 17368
Міське населення 4890 4836 4805
смт Лугини 4268 4220 4186
смт Жовтневе 622 616 619
Сільське населення 13011 12791 12563
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
58
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Любарський район 28634 28204 27980
Міське населення 2288 2231 2193
смт Любар 2288 2231 2193
Сільське населення 26346 25973 25787
Малинський район 20378 20119 19890
Міське населення 3586 3553 3533
смт Гранітне 1533 1513 1507
смт Чоповичі 2053 2040 2026
Сільське населення 16792 16566 16357
Народицький район 9636 9656 9670
Міське населення 2514 2585 2610
смт Народичі 2514 2585 2610
Сільське населення 7122 7071 7060
Новоград-Волинський район 47904 47570 47275
Міське населення 5483 5470 5471
смт Городниця 5483 5470 5471
Сільське населення 42421 42100 41804
Овруцький район 60621 59950 59460
Міське населення 19245 19198 19239
м. Овруч 16722 16681 16737
смт Першотравневе 2523 2517 2502
Сільське населення 41376 40752 40221
Олевський район 42249 42121 41945
Міське населення 15211 15241 15161
м. Олевськ 10229 10262 10216
смт Бучмани 734 731 716
смт Діброва 140 138 136
смт Дружба 507 491 490
смт Нові Білокоровичі 3011 3034 3028
смт Новоозерянка 590 585 575
Сільське населення 27038 26880 26784
Попільнянський район 33657 33403 33126
Міське населення 8485 8435 8369
смт Попільня 6055 6028 5998
смт Корнин 2430 2407 2371
Сільське населення 25172 24968 24757
Радомишльський район 37724 37271 36878
Міське населення 15989 15948 15921
м. Радомишль 15042 15003 15002
смт Біла Криниця 947 945 919
Сільське населення 21735 21323 20957
Романівський район 30045 29629 29414
Міське населення 14521 14353 14330
_______ _ _ _ _с_м_т_ _Р_о_м_а_н__ів_ __________________________7_7_9_3________7_7_3_1________7_7_4_4_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
59
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Биківка 1807 1788 1796
смт Миропіль 4921 4834 4790
Сільське населення 15524 15276 15084
Ружинський район 29580 29077 28616
Міське населення 4761 4712 4662
смт Ружин 4761 4712 4662
Сільське населення 24819 24365 23954
Червоноармійський район 24007 23841 23661
Міське населення 5465 5472 5463
смт Червоноармійськ 5465 5472 5463
Сільське населення 18542 18369 18198
Черняхівський район 30990 30688 30382
Міське населення 12116 12088 12012
смт Черняхів 10060 9979 9890
смт Головине 2056 2109 2122
Сільське населення 18874 18600 18370
Чуднівський район 37249 36834 36604
Міське населення 13771 13629 13563
смт Чуднів 5806 5752 5782
смт Вакуленчук 2045 2017 2014
смт Великі Коровинці 2392 2384 2343
смт Іванопіль 3528 3476 3424
Сільське населення 23478 23205 23041
Закарпатська область 1244828 1247350 1250759
Міське населення 462567 463762 465272
Сільське населення 782261 783588 785487
м. Ужгород 116456 116423 116556
Берегове (міськрада) 24943 24908 24824
Міське населення 24615 24580 24505
м. Берегове 24615 24580 24505
Сільське населення 328 328 319
м. Мукачеве 83763 84163 84630
Хуст (міськрада) 31516 31565 31686
Міське населення 28392 28438 28537
м. Хуст 28392 28438 28537
Сільське населення 3124 3127 3149
м.Чоп 8872 8934 8977
Берегівський район 51792 51720 51716
Міське населення 3037 3046 3031
смт Батьово 3037 3046 3031
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________4_8_7_5_5_______4_8_6_7_4_______4_8_6_8_5_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
60
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Великоберезнянський район 26507 26414 26386
Міське населення 7014 7078 7142
смт Великий Березний 7014 7078 7142
Сільське населення 19493 19336 19244
Виноградівський район 117921 118489 119105
Міське населення 37596 37790 37977
м. Виноградів 25435 25481 25503
смт Вилок 3326 3316 3318
смт Королево 8835 8993 9156
Сільське населення 80325 80699 81128
Воловецький район 24286 24325 24379
Міське населення 6196 6216 6286
смт Воловець 5090 5104 5177
смт Жденієво 1106 1112 1109
Сільське населення 18090 18109 18093
Іршавський район 98813 98865 99038
Міське населення 9153 9166 9189
м. Іршава 9153 9166 9189
Сільське населення 89660 89699 89849
Міжгірський район 48334 48186 48168
Міське населення 9536 9549 9577
смт Міжгір'я 9536 9549 9577
Сільське населення 38798 38637 38591
Мукачівський район 100389 100620 100813
Міське населення 11124 11141 11206
смт Кольчино 4329 4319 4346
смт Чинадійово 6795 6822 6860
Сільське населення 89265 89479 89607
Перечинський район 31069 31131 31272
Міське населення 6718 6705 6706
м. Перечин 6718 6705 6706
Сільське населення 24351 24426 24566
Рахівський район 90433 90783 91115
Міське населення 36045 36223 36330
м. Рахів 15072 15137 15197
смт Великий Бичків 9335 9367 9379
смт Кобилецька Поляна 3414 3411 3392
смт Ясіня 8224 8308 8362
Сільське населення 54388 54560 54785
Свалявський район 54157 54231 54361
Міське населення 16781 16871 16962
м. Свалява 16781 16871 16962
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________3_7_3_7_6_______3_7_3_6_0_______3_7_3_9_9_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
61
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Тячівський район 172417 172959 173503
Міське населення 45310 45394 45520
м. Тячів 9191 9184 9154
смт Буштино 8605 8634 8646
смт Дубове 9514 9591 9686
смт Солотвино 8991 8977 8973
смт Тересва 7509 7518 7556
смт Усть-Чорна 1500 1490 1505
Сільське населення 127107 127565 127983
Ужгородський район 67985 68362 68786
Міське населення 3675 3733 3780
смт Середнє 3675 3733 3780
Сільське населення 64310 64629 65006
Хустський район 95175 95272 95444
Міське населення 8284 8312 8361
смт Вишково 8284 8312 8361
Сільське населення 86891 86960 87083
Запорізька область 1811664 1801315 1791668
Міське населення 1391582 1385223 1379328
Сільське населення 420082 416092 412340
м. Запоріжжя 780733 776535 772627
Бердянськ (міськрада) 120669 120287 119697
Міське населення 117517 117149 116563
м. Бердянськ 117517 117149 116563
Сільське населення 3152 3138 3134
м. Енергодар 54389 54484 54638
м. Мелітополь 157626 157141 156885
м. Токмак 33655 33420 33168
Бердянський район 27019 26693 26474
Міське населення 3015 3002 2986
смт Андріївка 3015 3002 2986
Сільське населення 24004 23691 23488
Василівський район 66746 66285 65887
Міське населення 38461 38359 38210
м. Василівка 14210 14134 14059
м. Дніпрорудне 19749 19720 19617
смт Степногірськ 4502 4505 4534
Сільське населення 28285 27926 27677
Великобілозерський район 8396 8346 8298
Сільське населення 8396 8346 8298
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
62
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Веселівський район 22477 22285 22222
Міське населення 10004 9980 10030
смт Веселе 10004 9980 10030
Сільське населення 12473 12305 12192
Вільнянський район 48477 48220 47994
Міське населення 17219 17112 17017
м. Вільнянськ 16002 15901 15802
смт Кам'яне 1217 1211 1215
Сільське населення 31258 31108 30977
Гуляйпільський район 29062 28650 28305
Міське населення 15896 15733 15649
м. Гуляйполе 14713 14556 14489
смт Залізничне 1183 1177 1160
Сільське населення 13166 12917 12656
Запорізький район 57163 57341 57655
Міське населення 17796 17817 17857
смт Балабине 6156 6168 6147
смт Кушугум 8174 8176 8239
смт Малокатеринівка 3466 3473 3471
Сільське населення 39367 39524 39798
Кам'янсько-Дніпровський район 42147 41825 41462
Міське населення 13723 13653 13541
м. Кам'янка-Дніпровська 13723 13653 13541
Сільське населення 28424 28172 27921
Куйбишевський район 24199 23928 23571
Міське населення 9809 9740 9670
смт Куйбишеве 7465 7408 7362
смт Комиш-Зоря 2344 2332 2308
Сільське населення 14390 14188 13901
Мелітопольський район 51298 50929 50530
Міське населення 3121 3103 3088
смт Мирне 3121 3103 3088
Сільське населення 48177 47826 47442
Михайлівський район 30109 29940 29762
Міське населення 15993 15903 15842
смт Михайлівка 12688 12626 12575
смт Пришиб 3305 3277 3267
Сільське населення 14116 14037 13920
Новомиколаївський район 17277 17045 16819
Міське населення 6997 6983 6976
смт Новомиколаївка 5517 5522 5525
смт Тернувате 1480 1461 1451
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________1_0_2_8_0_______1_0_0_6_2________9_8_4_3_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
63
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Оріхівський район 48159 47871 47535
Міське населення 21007 20950 20790
м. Оріхів 15654 15544 15409
смт Комишуваха 5353 5406 5381
Сільське населення 27152 26921 26745
Пологівський район 42978 42552 42071
Міське населення 20340 20223 20124
м. Пологи 20340 20223 20124
Сільське населення 22638 22329 21947
Приазовський район 29206 28956 28743
Міське населення 9375 9348 9306
смт Приазовське 6803 6818 6814
смт Нововасилівка 2572 2530 2492
Сільське населення 19831 19608 19437
Приморський район 31679 31484 31210
Міське населення 12219 12183 12182
м. Приморськ 12219 12183 12182
Сільське населення 19460 19301 19028
Розівський район 9845 9647 9492
Міське населення 3578 3516 3465
смт Розівка 3578 3516 3465
Сільське населення 6267 6131 6027
Токмацький район 24450 24090 23826
Міське населення 7195 7090 7011
м. Молочанськ 7195 7090 7011
Сільське населення 17255 17000 16815
Чернігівський район 18777 18424 18150
Міське населення 6429 6326 6281
смт Чернігівка 6429 6326 6281
Сільське населення 12348 12098 11869
Якимівський район 35128 34937 34647
Міське населення 15485 15473 15422
смт Якимівка 12042 12001 11952
смт Кирилівка 3443 3472 3470
Сільське населення 19643 19464 19225
Івано-Франківська область 1380716 1379766 1380128
Міське населення 596424 597245 597706
Сільське населення 784292 782521 782422
Івано-Франківськ (міськрада) 240508 241056 241753
Міське населення 224401 224585 224660
м. Івано-Франківськ 224401 224585 224660
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________1_6_1_0_7_______1_6_4_7_1_______1_7_0_9_3_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
64
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Болехів (міськрада) 21413 21393 21433
Міське населення 10686 10721 10751
м. Болехів 10686 10721 10751
Сільське населення 10727 10672 10682
м. Калуш 67290 67434 67562
м. Коломия 61186 61300 61290
Яремче (міськрада) 22072 22259 22411
Міське населення 12049 12155 12219
м. Яремче 7993 8047 8065
смт Ворохта 4056 4108 4154
Сільське населення 10023 10104 10192
Богородчанський район 69396 69498 69664
Міське населення 11774 11832 11785
смт Богородчани 7873 7916 7852
смт Солотвин 3901 3916 3933
Сільське населення 57622 57666 57879
Верховинський район 29540 29634 29826
Міське населення 5565 5614 5661
смт Верховина 5565 5614 5661
Сільське населення 23975 24020 24165
Галицький район 62093 61845 61517
Міське населення 23731 23778 23718
м. Галич 6282 6307 6276
м. Бурштин 15311 15348 15346
смт Більшівці 2138 2123 2096
Сільське населення 38362 38067 37799
Городенківський район 56368 56027 55609
Міське населення 11116 11146 11122
м. Городенка 9384 9428 9404
смт Чернелиця 1732 1718 1718
Сільське населення 45252 44881 44487
Долинський район 69321 69240 69415
Міське населення 22694 22678 22772
м. Долина 20473 20453 20545
смт Вигода 2221 2225 2227
Сільське населення 46627 46562 46643
Калуський район 60811 60538 60455
Міське населення 2741 2747 2748
смт Войнилів 2741 2747 2748
Сільське населення 58070 57791 57707
Коломийський район 101476 100980 100758
Міське населення 12701 12656 12682
_______ _ _ _ _с_м_т_ _Г_в_і_зд__е_ц_ь__________________________1_9_5_5________1_9_3_1________1_9_2_7_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
65
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Отинія 5474 5466 5463
смт Печеніжин 5272 5259 5292
Сільське населення 88775 88324 88076
Косівський район 88256 88209 88392
Міське населення 14567 14649 14681
м. Косів 8377 8456 8517
смт Кути 4174 4161 4118
смт Яблунів 2016 2032 2046
Сільське населення 73689 73560 73711
Надвірнянський район 113405 113798 114251
Міське населення 42240 42354 42624
м. Надвірна 21806 21930 22093
смт Битків 4291 4302 4338
смт Делятин 8195 8184 8264
смт Ланчин 7948 7938 7929
Сільське населення 71165 71444 71627
Рогатинський район 44732 44122 43651
Міське населення 9542 9505 9480
м. Рогатин 8118 8097 8095
смт Букачівці 1424 1408 1385
Сільське населення 35190 34617 34171
Рожнятівський район 73731 73555 73530
Міське населення 22281 22232 22187
смт Рожнятів 3879 3883 3885
смт Брошнів-Осада 5939 5863 5748
смт Перегінське 12463 12486 12554
Сільське населення 51450 51323 51343
Снятинський район 66300 66192 66003
Міське населення 14250 14228 14232
м. Снятин 10175 10161 10156
смт Заболотів 4075 4067 4076
Сільське населення 52050 51964 51771
Тисменицький район 83159 83402 83532
Міське населення 15544 15565 15493
м. Тисмениця 9611 9618 9575
смт Єзупіль 2985 2978 2944
смт Лисець 2948 2969 2974
Сільське населення 67615 67837 68039
Тлумацький район 49659 49284 49076
Міське населення 12066 12066 12039
м. Тлумач 8834 8841 8844
смт Обертин 3232 3225 3195
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________3_7_5_9_3_______3_7_2_1_8_______3_7_0_3_7_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
66
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Київська область 1721764 1717649 1719558
Міське населення 1052069 1053534 1059127
Сільське населення 669695 664115 660431
м. Біла Церква 209250 209396 210551
м. Березань 16611 16559 16527
м. Бориспіль 57563 58227 58868
м. Бровари 94968 95979 97146
м. Буча 27269 27460 27909
м. Васильків 36421 36357 36427
Ірпінь (міськрада) 76062 76442 76841
Міське населення 76062 76442 76841
м. Ірпінь 41185 41533 41693
смт Ворзель 5632 5603 5648
смт Гостомель 14296 14268 14304
смт Коцюбинське 14949 15038 15196
Обухів (міськрада) 32964 33059 33315
Міське населення 32516 32615 32876
м. Обухів 32516 32615 32876
Сільське населення 448 444 439
м. Переяслав-Хмельницький 28280 27995 27923
м. Прип'ять - - -
м. Ржищів 7621 7564 7529
м. Славутич 24407 24492 24726
м. Фастів 48684 48517 48370
Баришівський район 37356 37125 36913
Міське населення 10947 10950 10969
смт Баришівка 10947 10950 10969
Сільське населення 26409 26175 25944
Білоцерківський район 50109 49696 49228
Міське населення 13921 13819 13802
м. Узин 12258 12166 12146
смт Терезине 1663 1653 1656
Сільське населення 36188 35877 35426
Богуславський район 36640 36379 36067
Міське населення 16727 16810 16864
м. Богуслав 16727 16810 16864
Сільське населення 19913 19569 19203
Бориспільський район 52420 52415 52571
Сільське населення 52420 52415 52571
Бородянський район 56988 57050 57220
Міське населення 34511 34661 34919
смт Бородянка 12903 12980 13086
_______ _ _ _ _с_м_т_ _Б_а_б_и_н_ц__і __________________________2_6_8_0________2_6_8_8________2_6_9_0_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
67
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Клавдієво-Тарасове 4977 4995 5059
смт Немішаєве 6874 6968 7052
смт Пісківка 7077 7030 7032
Сільське населення 22477 22389 22301
Броварський район 68742 68553 68591
Міське населення 18194 18084 18147
смт Велика Димерка 9584 9564 9606
смт Калинівка 3767 3731 3748
смт Калита 4843 4789 4793
Сільське населення 50548 50469 50444
Васильківський район 58603 58060 57983
Міське населення 21448 21379 21554
смт Глеваха 8489 8473 8569
смт Гребінки 5759 5736 5769
смт Дослідницьке 1924 1910 1924
смт Калинівка 5276 5260 5292
Сільське населення 37155 36681 36429
Вишгородський район 71744 71639 72043
Міське населення 31408 31497 31984
м. Вишгород 25523 25694 26198
смт Димер 5885 5803 5786
Сільське населення 40336 40142 40059
Володарський район 18848 18568 18312
Міське населення 6440 6395 6350
смт Володарка 6440 6395 6350
Сільське населення 12408 12173 11962
Згурівський район 18396 17946 17680
Міське населення 5543 5447 5365
смт Згурівка 5543 5447 5365
Сільське населення 12853 12499 12315
Іванківський район 31549 31243 30971
Міське населення 10617 10602 10678
м. Чорнобиль - - -
смт Іванків 10617 10602 10678
Сільське населення 20932 20641 20293
Кагарлицький район 34710 34545 34428
Міське населення 13655 13682 13700
м. Кагарлик 13655 13682 13700
Сільське населення 21055 20863 20728
Києво-Святошинський район 154348 155425 157119
Міське населення 75153 75362 76017
м. Боярка 34908 34951 35130
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
68
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Вишневе 36614 36712 37012
смт Чабани 3631 3699 3875
Сільське населення 79195 80063 81102
Макарівський район 39396 38815 38483
Міське населення 11966 11874 11821
смт Макарів 10462 10389 10362
смт Кодра 1504 1485 1459
Сільське населення 27430 26941 26662
Миронівський район 35763 35469 35236
Міське населення 12006 11999 11970
м. Миронівка 12006 11999 11970
Сільське населення 23757 23470 23266
Обухівський район 35534 35547 35630
Міське населення 18372 18518 18687
м. Українка 15168 15338 15458
смт Козин 3204 3180 3229
Сільське населення 17162 17029 16943
Переяслав-Хмельницький район 30591 30068 29712
Сільське населення 30591 30068 29712
Поліський район 6191 6081 6011
Міське населення 668 660 660
смт Красятичі 668 660 660
Сільське населення 5523 5421 5351
Рокитнянський район 29292 28775 28589
Міське населення 11550 11467 11484
смт Рокитне 11550 11467 11484
Сільське населення 17742 17308 17105
Сквирський район 39489 39243 38701
Міське населення 17054 16979 16800
м. Сквира 17054 16979 16800
Сільське населення 22435 22264 21901
Ставищенський район 24321 23841 23545
Міське населення 7078 6974 6932
смт Ставище 7078 6974 6932
Сільське населення 17243 16867 16613
Таращанський район 30808 30291 30089
Міське населення 11730 11572 11529
м. Тараща 11730 11572 11529
Сільське населення 19078 18719 18560
Тетіївський район 32887 32568 32523
Міське населення 13292 13235 13312
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
69
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Тетіїв 13292 13235 13312
Сільське населення 19595 19333 19211
Фастівський район 32158 31752 31469
Міське населення 9481 9396 9389
смт Борова 7298 7255 7273
смт Кожанка 2183 2141 2116
Сільське населення 22677 22356 22080
Яготинський район 34781 34508 34312
Міське населення 20656 20569 20501
м. Яготин 20656 20569 20501
Сільське населення 14125 13939 13811
Кіровоградська область 1017782 1009987 1002420
Міське населення 627900 625411 622930
Сільське населення 389882 384576 379490
Кіровоград (міськрада) 244712 244143 243557
Міське населення 244712 244143 243557
м. Кіровоград 236097 235490 234919
смт Нове 8615 8653 8638
Знам'янка (міськрада) 30598 30174 29692
Міське населення 30311 29887 29415
м. Знам'янка 25073 24703 24255
смт Знам'янка Друга 5238 5184 5160
Сільське населення 287 287 277
Олександрія (міськрада) 93221 93143 92835
Міське населення 91031 90959 90689
м. Олександрія 83419 83339 83072
смт Димитрове 4853 4876 4872
смт Пантаївка 2759 2744 2745
Сільське населення 2190 2184 2146
Світловодськ (міськрада) 55388 55075 54775
Міське населення 55388 55075 54775
м. Світловодськ 47640 47351 47036
смт Власівка 7748 7724 7739
Бобринецький район 27203 26919 26696
Міське населення 10988 10945 10944
м. Бобринець 10988 10945 10944
Сільське населення 16215 15974 15752
Вільшанський район 13634 13484 13285
Міське населення 4906 4877 4841
смт Вільшанка 4906 4877 4841
Сільське населення 8728 8607 8444
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
70
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Гайворонський район 40112 39714 39466
Міське населення 22230 22076 21976
м. Гайворон 15454 15335 15277
смт Завалля 4944 4922 4897
смт Салькове 1832 1819 1802
Сільське населення 17882 17638 17490
Голованівський район 33048 32663 32341
Міське населення 12249 12192 12187
смт Голованівськ 6209 6150 6128
смт Побузьке 6040 6042 6059
Сільське населення 20799 20471 20154
Добровеличківський район 36622 35942 35272
Міське населення 15634 15343 15115
м. Помічна 9605 9412 9293
смт Добровеличківка 6029 5931 5822
Сільське населення 20988 20599 20157
Долинський район 35685 35588 35456
Міське населення 20463 20673 20755
м. Долинська 19099 19319 19419
смт Молодіжне 1364 1354 1336
Сільське населення 15222 14915 14701
Знам'янський район 24956 24560 24121
Сільське населення 24956 24560 24121
Кіровоградський район 37722 37655 37518
Сільське населення 37722 37655 37518
Компаніївський район 15978 15810 15735
Міське населення 4556 4538 4525
смт Компаніївка 4556 4538 4525
Сільське населення 11422 11272 11210
Маловисківський район 46047 45676 45324
Міське населення 21084 21014 20974
м. Мала Виска 11391 11269 11201
смт Смоліне 9693 9745 9773
Сільське населення 24963 24662 24350
Новгородківський район 16367 16216 16048
Міське населення 5869 5863 5835
смт Новгородка 5869 5863 5835
Сільське населення 10498 10353 10213
Новоархангельський район 26195 25925 25639
Міське населення 6521 6453 6398
смт Новоархангельськ 6521 6453 6398
Сільське населення 19674 19472 19241
Новомиргородський район 30394 30054 29777
_______ _ _М__іс_ь_к_е_ _н_а_с_е_л_е_н_н_я______________________1_4_4_0_9______14_3_3_2_______1_4_3_1_2_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
71
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Новомиргород 11746 11677 11653
смт Капітанівка 2663 2655 2659
Сільське населення 15985 15722 15465
Новоукраїнський район 44572 44238 43801
Міське населення 18032 17945 17852
м. Новоукраїнка 18032 17945 17852
Сільське населення 26540 26293 25949
Олександрівський район 30181 29574 29043
Міське населення 11687 11543 11399
смт Олександрівка 9301 9166 9026
смт Єлизаветградка 1354 1327 1309
смт Лісове 1032 1050 1064
Сільське населення 18494 18031 17644
Олександрійський район 37956 37493 37181
Міське населення 10629 10583 10517
смт Нова Прага 7343 7273 7214
смт Приютівка 3286 3310 3303
Сільське населення 27327 26910 26664
Онуфріївський район 19328 19187 18991
Міське населення 8710 8742 8748
смт Онуфріївка 4041 4043 4044
смт Павлиш 4669 4699 4704
Сільське населення 10618 10445 10243
Петрівський район 25835 25519 25273
Міське населення 8556 8454 8423
смт Петрове 7681 7593 7572
смт Балахівка 875 861 851
Сільське населення 17279 17065 16850
Світловодський район 13588 13349 13154
Сільське населення 13588 13349 13154
Ульяновський район 24398 24044 23754
Міське населення 6341 6236 6199
м. Ульяновка 6341 6236 6199
Сільське населення 18057 17808 17555
Устинівський район 14042 13842 13686
Міське населення 3594 3538 3494
смт Устинівка 3594 3538 3494
Сільське населення 10448 10304 10192
Луганська область 2311617 2291271 2272676
Міське населення 2003174 1986423 1971615
