deputat,perc_for,votes_for,tvo,oblast,year,info,proposed,registration,gender,age,birthday,job,city_living,party,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,average_age,pop_change,region_ideology,previous,ever,funding,power_status,party_ideology,prop_election_forecast
Конєва Ірина Василівна,NA,NA,19,Волинська область,2019,"народилася 27 квiтня 1975 року в місті Нововолинськ Волинської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, головний консультант, cекретаріат Комітету Верховної Ради України з питань економічної політики, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,23.06.2019,F,44,27.4.1975,головний консультант,проживає в місті Києві,безпартійний,19,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Мисковець Назар Сергійович,NA,NA,19,Волинська область,2019,"народився 23 грудня 1988 року в смт Олика Ківерцівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,31,23.12.1988,фізична особа – підприємець,проживає в місті Луцьку,безпартійний,19,Зеленський Володимир,24.6455374979753,22823,NA,37.5,1.6,orange,0,0,0,yes,orange,45.5
Юнак Микола Петрович,NA,NA,19,Волинська область,2019,"народився 3 квiтня 1975 року в селищі Локачі Локачинського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, фермерське господарство ""Західний Буг Юнака Сергія Петровича"", безпартійний, проживає в місті Володимир-Волинський Волинської області, судимість відсутня, самовисування.",самовисування,17.06.2019,M,44,3.4.1975,голова,проживає в місті Володимир-Волинський Волинської області,безпартійний,19,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Ваврищук Вадим Петрович,NA,NA,20,Волинська область,2019,"народився 15 червня 1974 року в смт Локачі Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,22.06.2019,M,45,15.6.1974,пенсіонер,проживає в місті Луцьку,безпартійний,20,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Козюра Андрій Григорович,NA,NA,20,Волинська область,2019,"народився 6 червня 1979 року в місті Любомль Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, генеральний директор ТДВ ""Юридична компанія ""Ліга Права"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Струмівка Луцького району Волинської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",політична партія всеукраїнське обєднання батьківщина,24.06.2019,M,40,6.6.1979,адвокат,проживає в селі Струмівка Луцького району Волинської області,політична партія всеукраїнське обєднання батьківщина,20,Тимошенко Юлія,21.7305193920288,23919,NA,37.5,1.6,orange,0,0,0,no,orange,7.2
Мартиняк Сергій Васильович,NA,NA,20,Волинська область,2019,"народився 4 березня 1971 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Гаразджа Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,14.06.2019,M,48,4.3.1971,народний депутат України,проживає в селі Гаразджа Луцького району Волинської області,безпартійний,20,NA,0,0,NA,37.5,1.6,orange,1,1,24340,no,grey,NA
Мирка Іван Іванович,NA,NA,20,Волинська область,2019,"народився 21 липня 1980 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Волинська територіальна організація партії ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ"", член Політичної партії ""Європейська Солідарність"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,39,21.7.1980,голова,проживає в місті Луцьку,політична партія європейська солідарність,20,Порошенко Петро,20.4495280319067,22509,NA,37.5,1.6,orange,0,0,0,no,orange,8.3
Пудлік Віталій Георгійович,NA,NA,20,Волинська область,2019,"народився 30 грудня 1986 року в селі Чаруків Луцького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, водій, виконавчий апарат Луцької районної ради, проживає в селі Чаруків Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,24.06.2019,M,33,30.12.1986,водій,проживає в селі Чаруків Луцького району Волинської області,безпартійний,20,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Рубльов Вячеслав Володимирович,NA,NA,20,Волинська область,2019,"народився 25 лютого 1979 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, радник голови, Волинська обласна рада, безпартійний, проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,40,25.2.1979,радник голови,проживає в місті Луцьку,безпартійний,20,Зеленський Володимир,19.1985173206385,21132,NA,37.5,1.6,orange,0,0,0,yes,orange,45.5
Саєвич Володимир Михайлович,NA,NA,20,Волинська область,2019,"народився 27 вересня 1957 року в селищі Лопатин Радехівського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Горохів Горохівського району Волинської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,62,27.9.1957,пенсіонер,проживає в місті Горохів Горохівського району Волинської області,політична партія опозиційна платформа  за життя,20,Бойко Юрій,2.72642203668541,3001,NA,37.5,1.6,orange,0,0,0,no,blue,12
Твердохліб Олена Олегівна,NA,NA,20,Волинська область,2019,"народилася 17 серпня 1972 року в селі Маяки Луцького району Волинської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, Княгининівський сільський голова, безпартійнa, проживає в селі Княгининок Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,17.06.2019,F,47,17.8.1972,Княгининівський сільський голова,проживає в селі Княгининок Луцького району Волинської області,безпартійний,20,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Цейко Юрій Феодосійович,NA,NA,20,Волинська область,2019,"народився 8 березня 1965 року в селі Боратин Луцького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Фабрика солодощів ""Ласка"", безпартійний, проживає в селі Голишів Луцького району Волинської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,25.06.2019,M,54,8.3.1965,директор,проживає в селі Голишів Луцького району Волинської області,безпартійний,20,Кошулинський Руслан,3.11889598531857,3433,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Горішний Василь Олександрович,NA,NA,21,Волинська область,2019,"народився 20 сiчня 1983 року в місті Ковель Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ІВС-ТРАНС"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в селі Воля-Ковельська Ковельського району Волинської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,36,20.1.1983,директор,проживає в селі Воля-Ковельська Ковельського району Волинської області,політична партія опозиційна платформа  за життя,21,Бойко Юрій,5.24284998969103,5340,NA,37.5,1.6,orange,0,0,0,no,blue,12
ДемянчукВіталій Юрійович,NA,NA,21,Волинська область,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Івахів Степан Петрович,NA,NA,21,Волинська область,2019,"народився 24 сiчня 1968 року в селі Андріївка Буського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Липини Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,21.06.2019,M,51,24.1.1968,народний депутат України,проживає в селі Липини Луцького району Волинської області,безпартійний,21,NA,0,0,NA,37.5,1.6,orange,1,1,26970,no,grey,NA
Калюжний Олексндр Володимирович,NA,NA,21,Волинська область,2019,"народився 4 квiтня 1970 року в місті Ізюм Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійний, проживає в місті Ковель Волинської області, судимість відсутня, самовисування.",самовисування,22.06.2019,M,49,4.4.1970,фізична особа – підприємець,проживає в місті Ковель Волинської області,безпартійний,21,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Кошарук Сергій Дмитрович,NA,NA,21,Волинська область,2019,"народився 22 вересня 1973 року в місті Ковель Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""Європейська Солідарність"", проживає в місті Ковель Волинської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,46,22.9.1973,тимчасово не працює,проживає в місті Ковель Волинської області,політична партія європейська солідарність,21,Порошенко Петро,16.7290114184167,17039,NA,37.5,1.6,orange,0,0,0,no,orange,8.3
Лев Андрій Миколайович,NA,NA,21,Волинська область,2019,"народився 1 квiтня 1983 року в селі Довгів Горохівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, військовослужбовець, Збройні Сили України, безпартійний, проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,36,1.4.1983,військовослужбовець,проживає в місті Луцьку,безпартійний,21,Зеленський Володимир,23.5182076129324,23954,NA,37.5,1.6,orange,0,0,0,yes,orange,45.5
Місірук Олег Миколайович,NA,NA,21,Волинська область,2019,"народився 28 травня 1984 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селі Яревище Старовижівського району Волинської області, судимість відсутня, самовисування.",самовисування,31.05.2019,M,35,28.5.1984,тимчасово не працює,проживає в селі Яревище Старовижівського району Волинської області,безпартійний,21,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Мовчан Віктор Вікторович,NA,NA,21,Волинська область,2019,"народився 27 сiчня 1988 року в місті Ковель Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, благодійна організація ""Благодійний фонд ""Позитивна взаємодія"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,24.06.2019,M,31,27.1.1988,керівник,проживає в місті Києві,безпартійний,21,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Поліщук Юрій Петрович,NA,NA,21,Волинська область,2019,"народився 13 лютого 1975 року в селі Облапи Ковельського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, управління гуманітарної сфери виконавчого комітету Люблинецької селищної ради Ковельського району Волинської області, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Ковель Волинської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,25.06.2019,M,44,13.2.1975,начальник,проживає в місті Ковель Волинської області,політична партія всеукраїнське обєднання свобода,21,Кошулинський Руслан,2.17862998635288,2219,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Сидор Іван Ярославович,NA,NA,21,Волинська область,2019,"народився 17 сiчня 1997 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селі Зміїнець Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,24.06.2019,M,22,17.1.1997,тимчасово не працює,проживає в селі Зміїнець Луцького району Волинської області,безпартійний,21,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Сінчук Богдан Володимирович,NA,NA,21,Волинська область,2019,"народився 8 травня 1981 року в селі Датинь Ратнівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",політична партія всеукраїнське обєднання батьківщина,24.06.2019,M,38,8.5.1981,адвокат,проживає в місті Луцьку,політична партія всеукраїнське обєднання батьківщина,21,Тимошенко Юлія,19.4113084543411,19771,NA,37.5,1.6,orange,0,0,0,no,orange,7.2
Адамчук Сергій Миколайович,NA,NA,22,Волинська область,2019,"народився 16 травня 1982 року в місті Ковель Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА"", проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,24.06.2019,M,37,16.5.1982,фізична особа – підприємець,проживає в місті Луцьку,політична партія українська стратегія гройсмана,22,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Бабаханов Руслан Олексійович,NA,NA,22,Волинська область,2019,"народився 15 квiтня 1969 року в селі Мощаниця Ківерцівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,50,15.4.1969,тимчасово не працює,проживає в місті Луцьку,політична партія опозиційна платформа  за життя,22,Бойко Юрій,3.55301069940722,3872,NA,37.5,1.6,orange,0,0,0,no,blue,12
Глазунов Дмитро Борисович,NA,NA,22,Волинська область,2019,"народився 11 липня 1974 року в місті Ківерці Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, Волинська обласна ГО ""Волинська обласна лікарняна каса"", безпартійний, проживає в селі Струмівка Луцького району Волинської області, судимість відсутня, самовисування.",самовисування,25.06.2019,M,45,11.7.1974,голова правління,проживає в селі Струмівка Луцького району Волинської області,безпартійний,22,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Данильчук Павло Петрович,NA,NA,22,Волинська область,2019,"народився 30 червня 1985 року в селі Торговиця Млинівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник територіального підрозділу, ГО ""Громадський рух ""Народний контроль"", безпартійний, проживає в селі Торговиця Млинівського району Рівненської області, судимість відсутня, суб’єкт висування – політична партія ""Громадянська позиція"".",політична партія громадянська позиція,22.06.2019,M,34,30.6.1985,керівник територіального підрозділу,проживає в селі Торговиця Млинівського району Рівненської області,безпартійний,22,Гриценко Анатолій,12.4603130907156,13579,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Климук Дмитро Миколайович,NA,NA,22,Волинська область,2019,"народився 6 грудня 1985 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Народний Рух України"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""Народний Рух України"".",політична партія народний рух україни,24.06.2019,M,34,6.12.1985,фізична особа – підприємець,проживає в місті Луцьку,політична партія народний рух україни,22,Кривенко Віктор,0.0504689019802162,55,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Моклиця Юрій Володимирович,NA,NA,22,Волинська область,2019,"народився 5 травня 1982 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник керівника, ТОВ ""СПЕЦПРОЕКТ-СТАНДАРТ"", член Політичної партії ""Європейська Солідарність"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,37,5.5.1982,помічник керівника,проживає в місті Луцьку,політична партія європейська солідарність,22,Порошенко Петро,21.188680284094,23091,NA,37.5,1.6,orange,0,0,0,no,orange,8.3
Палиця Ігор Петрович,NA,NA,22,Волинська область,2019,"народився 10 грудня 1972 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Волинська обласна рада, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в місті Яремче Івано-Франківської області, судимість відсутня, самовисування.",самовисування,14.06.2019,M,47,10.12.1972,голова,проживає в місті Яремче Івано-Франківської області,політична партія українське обєднання патріотів  укроп,22,NA,0,0,NA,37.5,1.6,orange,0,1,0,no,grey,NA
Панасюк Вячеслав Віталійович,NA,NA,22,Волинська область,2019,"народився 3 травня 1980 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,13.06.2019,M,39,3.5.1980,фізична особа – підприємець,проживає в місті Луцьку,безпартійний,22,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Пісачук Сергій Васильович,NA,NA,22,Волинська область,2019,"народився 21 березня 1976 року в селищі Шацьк Шацького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-флеболог, Центр хірургії ока професора Загурського, безпартійний, проживає в місті Луцьку, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,43,21.3.1976,лікар-флеболог,проживає в місті Луцьку,безпартійний,22,Зеленський Володимир,22.5852924443466,24613,NA,37.5,1.6,orange,0,0,0,yes,orange,45.5
Федік Микола Миколайович,NA,NA,22,Волинська область,2019,"народився 1 лютого 1987 року в селі Піщане Камінь-Каширського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,25.06.2019,M,32,1.2.1987,фізична особа – підприємець,проживає в місті Луцьку,політична партія всеукраїнське обєднання свобода,22,Кошулинський Руслан,3.82278992090147,4166,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Шкітер Тарас Ігорович,NA,NA,22,Волинська область,2019,"народився 24 листопада 1990 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ГО ""Громадянський Рух ""СВІДОМІ"", безпартійний, проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,22.06.2019,M,29,24.11.1990,директор,проживає в місті Луцьку,безпартійний,22,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Бойко Тарас Григорович,NA,NA,23,Волинська область,2019,"народився 23 сiчня 1982 року в селі Мирогоща Дубнівського району Рівненської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, КП ""Полтавське комунальне автотранспортне підприємство 1628"", член Політичної партії ""Рідне місто"", проживає в місті Полтаві, судимість відсутня, суб’єкт висування – Політична партія ""Рідне місто"".",політична партія рідне місто,10.06.2019,M,37,23.1.1628,директор,проживає в місті Полтаві,політична партія рідне місто,23,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Констанкевич Ірина Мирославівна,NA,NA,23,Волинська область,2019,"народилася 23 червня 1965 року в місті Львові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в місті Луцьку, судимість відсутня, самовисування.",самовисування,21.06.2019,F,54,23.6.1965,народний депутат України,проживає в місті Луцьку,політична партія українське обєднання патріотів  укроп,23,NA,0,0,NA,37.5,1.6,orange,1,1,0,no,grey,NA
Махортов Дмитро Юрійович,NA,NA,23,Волинська область,2019,"народився 13 сiчня 1981 року в місті Лутугіне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Юридична компанія ""Альфа Лекс Груп"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",самовисування,21.06.2019,M,38,13.1.1981,керівник,проживає в місті Києві,безпартійний,23,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Оласюк Іван Вікторович,NA,NA,23,Волинська область,2019,"народився 10 липня 1981 року в селі Заріка Любешівського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Луцьке відділення №1 ТОВ ""Технофінанс"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".",політична партія опозиційна платформа  за життя,24.06.2019,M,38,10.7.1981,директор,проживає в місті Луцьку,політична партія опозиційна платформа  за життя,23,Бойко Юрій,3.59942244224422,3839,NA,37.5,1.6,orange,0,0,0,no,blue,12
Пирожик Олександр Веніамінович,NA,NA,23,Волинська область,2019,"народився 9 грудня 1970 року в селі Ягідне Турійського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Волинська обласна рада, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Луцьку, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",політична партія всеукраїнське обєднання свобода,25.06.2019,M,49,9.12.1970,перший заступник голови,проживає в місті Луцьку,політична партія всеукраїнське обєднання свобода,23,Кошулинський Руслан,1.99707470747075,2130,NA,37.5,1.6,orange,0,0,0,no,orange,NA
Приймачук Максим Петрович,NA,NA,23,Волинська область,2019,"народився 19 лютого 1987 року в селі Хотешів Камінь-Каширського району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ЖБК ""Рать"", безпартійний, проживає в смт Ратне Ратнівського району Волинської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",політична партія слуга народу,25.06.2019,M,32,19.2.1987,голова,проживає в смт Ратне Ратнівського району Волинської області,безпартійний,23,Зеленський Володимир,18.76500150015,20014,NA,37.5,1.6,orange,0,0,0,yes,orange,45.5
Роганов Ігор Юрійович,NA,NA,23,Волинська область,2019,"народився 23 травня 1982 року в місті Луцьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАЗОМ СИЛА"", проживає в селі Боратин Луцького району Волинської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА"".",політична партія разом сила,25.06.2019,M,37,23.5.1982,фізична особа – підприємець,проживає в селі Боратин Луцького району Волинської області,політична партія разом сила,23,NA,0,0,NA,37.5,1.6,orange,0,0,0,no,grey,NA
Сковорода Юрій Ігорович,NA,NA,23,Волинська область,2019,"народився 26 липня 1989 року в селі Гірка Полонка Луцького району Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Інформаційне агентство ""Волиньпост"", безпартійний, проживає в селі Гірка Полонка Луцького району Волинської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",політична партія європейська солідарність,24.06.2019,M,30,26.7.1989,директор,проживає в селі Гірка Полонка Луцького району Волинської області,безпартійний,23,Порошенко Петро,20.6589408940894,22034,NA,37.5,1.6,orange,0,0,0,no,orange,8.3
Барановська Ольга Олександрівна,NA,NA,24,Дніпропетровська область,2019,"народилася 1 грудня 1973 року в місті Павлоград Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Дніпрі, судимість відсутня, самовисування.",самовисування,22.06.2019,F,46,1.12.1973,тимчасово не працює,проживає в місті Дніпрі,безпартійний,24,NA,0,0,NA,41,-4.8,grey,0,0,0,no,grey,NA
Береза Юрій Миколайович,NA,NA,24,Дніпропетровська область,2019,"народився 8 лютого 1970 року в селі Саксагань П’ятихатського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",самовисування,21.06.2019,M,49,8.2.1970,народний депутат України,проживає в місті Дніпрі,безпартійний,24,NA,0,0,NA,41,-4.8,grey,1,1,0,no,grey,NA
Бутиріна Яна Борисівна,NA,NA,24,Дніпропетровська область,2019,"народилася 20 вересня 1979 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член СОЦІАЛІСТИЧНОЇ ПАРТІЇ УКРАЇНИ, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – СОЦІАЛІСТИЧНА ПАРТІЯ УКРАЇНИ.",соціалістична партія україни,15.06.2019,F,40,20.9.1979,фізична особа – підприємець,проживає в місті Дніпрі,соціалістична партія україни,24,Кива Ілля,0.0379148762419552,39,NA,41,-4.8,grey,0,0,0,no,grey,NA
